Contraste calculado sobre #33475B:
  texto blanco #FFFFFF        : 9.58:1 (AA/AAA)
OK   tablet-768 borde seccion blanco 20% -> rgba(255, 255, 255, 0.2)
OK   tablet-768 borde ico-grid blanco 20% -> rgba(255, 255, 255, 0.2)
OK   tablet-768 borde ico-item blanco 20% -> rgba(255, 255, 255, 0.2)
OK   tablet-768 borde compatibilidad blanco 20% -> rgba(255, 255, 255, 0.2)
OK   tablet-768 tarjetas compat siguen blancas -> rgb(255, 255, 255)
OK   tablet-768 texto tarjetas oscuro (sin cambios) -> rgb(51, 71, 91)
OK   tablet-768 check verde intacto -> rgb(30, 158, 106)
OK   tablet-768 cruz roja intacta -> rgb(192, 57, 43)
OK   tablet-768 tarjeta final-cta sin cambios -> rgb(34, 52, 77)
OK   tablet-768 sin overflow horizontal -> 0
OK   tablet-768 compat 2 columna(s) -> 2
OK   tablet-768 sin errores de consola -> 
OK   movil-390 #cuando-falla fondo #33475B -> rgb(51, 71, 91)
OK   movil-390 #compatibilidad fondo #33475B -> rgb(51, 71, 91)
OK   movil-390 #cierre fondo #33475B -> rgb(51, 71, 91)
OK   movil-390 #respaldo sigue #33475B -> rgb(51, 71, 91)
OK   movil-390 #planes sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   movil-390 #diferenciadores sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   movil-390 #como-funciona sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   movil-390 #clientes sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   movil-390 #faq sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   movil-390 body sigue blanco -> rgb(255, 255, 255)
OK   movil-390 #servicios sigue coral -> rgb(255, 122, 89)
OK   movil-390 #cotizar conserva gradiente (intacta) -> rgba(0, 0, 0, 0) | linear-gradient(rgb(233, 240, 248) 0%, rgb(255, 255, 255) 58
OK   movil-390 titulo cuando-falla blanco -> rgb(255, 255, 255)
OK   movil-390 h3 cuando-falla blanco -> rgb(255, 255, 255)
OK   movil-390 p cuando-falla blanco 85% -> rgba(255, 255, 255, 0.85)
OK   movil-390 iconos cuando-falla blancos -> rgb(255, 255, 255)
OK   movil-390 titulo compatibilidad blanco -> rgb(255, 255, 255)
OK   movil-390 subtitulo compatibilidad blanco 85% -> rgba(255, 255, 255, 0.85)
OK   movil-390 nota compatibilidad blanca -> rgb(255, 255, 255)
OK   movil-390 borde seccion blanco 20% -> rgba(255, 255, 255, 0.2)
OK   movil-390 borde ico-grid blanco 20% -> rgba(255, 255, 255, 0.2)
OK   movil-390 borde ico-item blanco 20% -> rgba(255, 255, 255, 0.2)
OK   movil-390 borde compatibilidad blanco 20% -> rgba(255, 255, 255, 0.2)
OK   movil-390 tarjetas compat siguen blancas -> rgb(255, 255, 255)
OK   movil-390 texto tarjetas oscuro (sin cambios) -> rgb(51, 71, 91)
OK   movil-390 check verde intacto -> rgb(30, 158, 106)
OK   movil-390 cruz roja intacta -> rgb(192, 57, 43)
OK   movil-390 tarjeta final-cta sin cambios -> rgb(34, 52, 77)
OK   movil-390 sin overflow horizontal -> 0
OK   movil-390 compat 1 columna(s) -> 1
OK   movil-390 sin errores de consola -> 

FAILS: 0
